,Name,Symbols,Total ESG Score,Environment Score,Social Score,Governance Score,Controversy Score,Controversy Assessment,Sector,Description
357,Sealed Air,SEE,21,16.0,2.0,3.0,2,Moderate Controversy,Consumer Cyclical,Sealed Air Corporation is a packaging company known for its brands: Cryovac food packaging and Bubble Wrap cushioning packaging.
358,Sherwin-Williams,SHW,29,13.0,9.0,7.0,2,Moderate Controversy,Basic Materials,"Sherwin Williams Company is a Cleveland, Ohio based company in the paint and coating manufacturing industry. The company primarily engages in the manufacture, distribution, and sale of paints, coatings, floorcoverings, and related products to professional, industrial, commercial, and retail customers primarily in North and South America and Europe."
359,J.M. Smucker Company (The),SJM,31,12.0,12.0,6.0,2,Moderate Controversy,Consumer Defensive,"The J. M. Smucker Company, also known as Smucker and Smucker's, is an American manufacturer of jam, peanut butter, jelly, fruit syrups, beverages, shortening, ice cream toppings, and other products in North America. Smucker's headquarters are located in Orrville, Ohio."
360,Schlumberger,SLB,22,7.0,9.0,6.0,1,Little Controversy,Energy,"Schlumberger Limited is an oilfield services company. Schlumberger has four principal executive offices located in Paris, Houston, London, and The Hague."
361,Snap-on,SNA,31,9.0,14.0,8.0,1,Little Controversy,Industrials,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries."
362,Synopsys,SNPS,13,3.0,6.0,4.0,0,No Controversy,Technology,
363,Southern Company,SO,33,15.0,11.0,7.0,2,Moderate Controversy,Utilities,
364,Simon Property Group,SPG,14,4.0,4.0,6.0,1,Little Controversy,Real Estate,
365,S&P Global,SPGI,14,0.0,6.0,8.0,1,Little Controversy,Financial Services,
366,Sempra Energy,SRE,25,12.0,7.0,6.0,3,Relatively High Controversy,Utilities,
367,Steel Dynamics,STLD,32,10.0,14.0,8.0,1,Little Controversy,Basic Materials,
368,State Street Corporation,STT,22,2.0,11.0,9.0,2,Moderate Controversy,Financial Services,
369,Seagate Technology,STX,11,2.0,4.0,5.0,1,Little Controversy,Technology,
370,Constellation Brands,STZ,26,10.4,10.0,5.4,2,Moderate Controversy,Consumer Defensive,
371,Stanley Black & Decker,SWK,26,6.0,13.0,8.0,2,Moderate Controversy,Industrials,"Stanley Black & Decker, Inc., formerly known as The Stanley Works, is a Fortune 500 American manufacturer of industrial tools and household hardware and provider of security products. Headquartered in the greater Hartford city of New Britain, Connecticut, Stanley Black & Decker is the result of the merger of Stanley Works and Black & Decker on March 12, 2010."
372,Skyworks Solutions,SWKS,28,12.0,9.0,7.0,1,Little Controversy,Technology,"Skyworks Solutions, Inc. is an American semiconductor company headquartered in Irvine, California, United States. Skyworks manufactures semiconductors for use in Radio Frequency (RF) and mobile communications systems."
373,Synchrony Financial,SYF,17,0.0,10.0,7.0,2,Moderate Controversy,Financial Services,"Synchrony Financial is a consumer financial services company headquartered in Stamford, Connecticut, United States. The company offers consumer financing products, including credit, promotional financing and loyalty programs, installment lending to industries, and FDIC-insured consumer savings products through Synchrony Bank, its wholly owned online bank subsidiary."
374,Stryker Corporation,SYK,29,4.0,14.0,11.0,3,Relatively High Controversy,Healthcare,"Stryker Corporation is an American multinational medical technologies corporation based in Kalamazoo, Michigan. Stryker's products include implants used in joint replacement and trauma surgeries; surgical equipment and surgical navigation systems; endoscopic and communications systems; patient handling and emergency medical equipment; neurosurgical, neurovascular and spinal devices; as well as other medical device products used in a variety of medical specialties."
375,Sysco,SYY,12,3.0,5.0,5.0,2,Moderate Controversy,Consumer Defensive,"Sysco Corporation is an American multinational corporation involved in marketing and distributing food products, smallwares, kitchen equipment and tabletop items to restaurants, healthcare and educational facilities, hospitality businesses like hotels and inns, and wholesale to other companies that provide foodservice (like Aramark and Sodexo). The company is headquartered in the Energy Corridor district of Houston, Texas."
376,AT&T,T,22,2.3,13.1,6.7,3,Relatively High Controversy,Communication Services,"AT&T Inc. is an American multinational conglomerate holding company, Delaware-registered but headquartered at Whitacre Tower in Downtown Dallas, Texas. It is the world largest telecommunications company, and the second largest provider of mobile telephone services."
377,Molson Coors Beverage Company,TAP,21,7.0,9.0,6.0,2,Moderate Controversy,Consumer Defensive,
378,TransDigm Group,TDG,39,13.0,18.0,8.0,2,Moderate Controversy,Industrials,
379,TE Connectivity,TEL,16,6.0,5.0,5.0,0,No Controversy,Technology,
380,Teradyne,TER,16,6.0,5.0,5.0,0,No Controversy,Technology,
381,Teleflex,TFX,30,5.0,16.0,9.0,2,Moderate Controversy,Healthcare,
382,Target Corporation,TGT,15,2.0,8.0,5.0,3,Relatively High Controversy,Consumer Defensive,
383,TJX Companies,TJX,14,2.0,7.0,5.0,2,Moderate Controversy,Consumer Cyclical,
384,Thermo Fisher Scientific,TMO,14,1.0,6.0,6.0,3,Relatively High Controversy,Healthcare,
385,T-Mobile US,TMUS,26,5.0,13.0,8.0,3,Relatively High Controversy,Communication Services,
386,"Tapestry, Inc.",TPR,13,1.0,7.0,5.0,2,Moderate Controversy,Consumer Cyclical,"Tapestry, Inc. is an American multinational luxury fashion holding company. It is based in New York City and is the parent company of three major brands: Coach New York, Kate Spade New York and Stuart Weitzman."
387,Targa Resources,TRGP,34,15.0,15.0,4.0,2,Moderate Controversy,Energy,"Targa Resources Corp. The company is headquartered in Houston, Texas."
388,Trimble Inc.,TRMB,13,3.0,4.0,6.0,0,No Controversy,Technology,"Trimble Inc. is a Sunnyvale, California-based hardware, software and services technology company. Trimble services global industries in Agriculture, Building & Construction, Geospatial, Natural Resources and Utilities, Governments, Transportation and others. Trimble also does hardware development of Global Navigation Satellite System (GNSS) receivers, scanners, laser rangefinders, unmanned aerial vehicles (UAVs), inertial navigation systems and software processing tools."
389,T. Rowe Price,TROW,17,2.0,9.0,5.0,1,Little Controversy,Financial Services,"T. Rowe Price Group, Inc. is an American publicly owned global investment management firm that offers funds, advisory services, account management, and retirement plans and services for individuals, institutions, and financial intermediaries."
390,Travelers Companies (The),TRV,21,1.0,9.0,10.0,1,Little Controversy,Financial Services,"The Travelers Companies, Inc., commonly known as Travelers, is an American insurance company."
391,Tractor Supply,TSCO,14,3.0,7.0,4.0,2,Moderate Controversy,Consumer Cyclical,
392,"Tesla, Inc.",TSLA,29,3.0,16.0,10.0,3,Relatively High Controversy,Consumer Cyclical,
393,Tyson Foods,TSN,37,14.0,12.0,10.0,4,Severe Controversy,Consumer Defensive,
394,Trane Technologies,TT,16,7.0,4.0,5.0,2,Moderate Controversy,Industrials,
395,Texas Instruments,TXN,20,9.0,5.0,6.0,2,Moderate Controversy,Technology,
396,Textron,TXT,34,11.0,16.0,7.0,2,Moderate Controversy,Industrials,
397,United Airlines Holdings,UAL,29,11.0,13.0,5.0,2,Moderate Controversy,Industrials,
398,"UDR, Inc.",UDR,12,3.0,4.0,5.0,1,Little Controversy,Real Estate,
399,Universal Health Services,UHS,33,4.0,21.0,9.0,3,Relatively High Controversy,Healthcare,
400,Ulta Beauty,ULTA,15,4.0,7.0,4.0,2,Moderate Controversy,Consumer Cyclical,"Ulta Beauty, Inc., formerly known as Ulta Salon, Cosmetics & Fragrance Inc., is an American chain of beauty stores headquartered in Bolingbrook, Illinois. Ulta Beauty carries cosmetics and skincare brands, men's and women's fragrances, nail products, bath and body products, beauty tools and haircare products."
401,UnitedHealth Group,UNH,18,0.0,12.0,6.0,3,Relatively High Controversy,Healthcare,"UnitedHealth Group Incorporated is an American for-profit multinational managed healthcare and insurance company based in Minnetonka, Minnesota. It offers health care products and insurance services. In 2020, it was the second-largest healthcare company (behind CVS Health) by revenue with $257.1 billion, and the largest insurance company by net premiums. UnitedHealthcare revenues comprise 80% of the Group's overall revenue."
402,Union Pacific Corporation,UNP,25,9.0,12.0,4.0,2,Moderate Controversy,Industrials,"The Union Pacific Corporation (Union Pacific) is a publicly traded railroad holding company. It was incorporated in Utah in 1969 and is headquartered in Omaha, Nebraska. It is the parent company of the current, Delaware-registered, form of the Union Pacific Railroad."
403,United Parcel Service,UPS,20,5.0,10.0,5.0,2,Moderate Controversy,Industrials,United Parcel Service is an American multinational shipping & receiving and supply chain management company founded in 1907.
404,United Rentals,URI,18,6.0,7.0,6.0,1,Little Controversy,Industrials,"United Rentals, Inc. (NYSE: URI) is the world's largest equipment rental company, with about 13 percent of the North American market share as of 2019."
405,U.S. Bank,USB,30,2.0,16.0,12.0,3,Relatively High Controversy,Financial Services,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota, and incorporated in Delaware. The company provides banking, investment, mortgage, trust, and payment services products to individuals, businesses, governmental entities, and other financial institutions."
406,Visa Inc.,V,16,1.0,8.0,8.0,3,Relatively High Controversy,Financial Services,
407,VF Corporation,VFC,13,1.0,7.0,5.0,2,Moderate Controversy,Consumer Cyclical,
408,Valero Energy,VLO,30,18.0,7.0,5.0,2,Moderate Controversy,Energy,
409,Vulcan Materials Company,VMC,29,16.0,5.0,9.0,2,Moderate Controversy,Basic Materials,
410,Verisk,VRSK,19,0.0,14.0,6.0,1,Little Controversy,Industrials,
411,Verisign,VRSN,21,5.0,11.0,6.0,1,Little Controversy,Technology,
412,Vertex Pharmaceuticals,VRTX,23,1.0,15.0,7.0,2,Moderate Controversy,Healthcare,
413,Ventas,VTR,13,3.0,4.0,6.0,0,No Controversy,Real Estate,
414,Verizon,VZ,18,4.0,9.0,6.0,3,Relatively High Controversy,Communication Services,"Verizon Communications Inc. is an American multinational telecommunications conglomerate and a corporate component of the Dow Jones Industrial Average. The company is headquartered at 1095 Avenue of the Americas in Midtown Manhattan, New York City, but is incorporated in Delaware."
415,Wabtec,WAB,23,5.0,12.0,7.0,1,Little Controversy,Industrials,"Wabtec Corporation (derived from Westinghouse Air Brake Technologies Corporation) is an American company formed by the merger of the Westinghouse Air Brake Company (WABCO) and MotivePower Industries Corporation in 1999. It is headquartered in Pittsburgh, Pennsylvania."
416,Waters Corporation,WAT,17,1.0,9.0,6.0,0,No Controversy,Healthcare,"Waters Corporation is a publicly traded Analytical Laboratory instrument and software company headquartered in Milford, Massachusetts."
417,Walgreens Boots Alliance,WBA,18,2.0,12.0,5.0,3,Relatively High Controversy,Healthcare,"Walgreens Boots Alliance, Inc. is an American pharmaceuticals holding company headquartered in Deerfield, Illinois. It owns the pharmacy chains Walgreens and Boots, as well as several pharmaceutical manufacturing, wholesale, and distribution companies."
418,Western Digital,WDC,11,1.0,4.0,6.0,1,Little Controversy,Technology,"Western Digital Corporation (WDC, commonly known as Western Digital or WD) is an American computer hard disk drive manufacturer and data storage company, headquartered in San Jose, California. It designs, manufactures and sells data technology products, including storage devices, data center systems and cloud storage services."
419,WEC Energy Group,WEC,27,15.0,7.0,5.0,1,Little Controversy,Utilities,"WEC Energy Group, based in Milwaukee, Wisconsin, provides electricity and natural gas to 4.4 million customers across four states."
420,Welltower,WELL,12,4.0,3.0,5.0,1,Little Controversy,Real Estate,
421,Wells Fargo,WFC,33,2.0,15.0,16.0,5,Severe Controversy,Financial Services,
422,Whirlpool Corporation,WHR,16,5.0,7.0,4.0,2,Moderate Controversy,Consumer Cyclical,
423,Waste Management,WM,17,8.0,5.0,3.0,2,Moderate Controversy,Industrials,
424,Williams Companies,WMB,24,10.0,10.0,3.0,2,Moderate Controversy,Energy,
425,Walmart,WMT,25,4.0,14.0,6.0,4,Severe Controversy,Consumer Defensive,
426,Berkley,WRB,22,2.0,7.9,12.0,1,Little Controversy,Financial Services,
427,Willis Towers Watson,WTW,19,0.0,9.0,10.0,2,Moderate Controversy,Financial Services,None
428,Weyerhaeuser,WY,18,10.0,3.0,4.0,2,Moderate Controversy,Real Estate,"Weyerhaeuser Company is an American timberland company which owns nearly 12,400,000 acres of timberlands in the U.S. and manages an additional 14,000,000 acres timberlands under long-term licenses in Canada. The company also manufactures wood products. Weyerhaeuser is a real estate investment trust."
429,Wynn Resorts,WYNN,26,4.0,12.0,11.0,3,Relatively High Controversy,Consumer Cyclical,"Wynn Resorts, Limited is an American publicly traded corporation based in Paradise, Nevada that is a developer and operator of high end hotels and casinos."
430,Xcel Energy,XEL,24,13.0,7.0,4.0,2,Moderate Controversy,Utilities,"Xcel Energy Inc. is a utility holding company based in Minneapolis, Minnesota, serving more than 3.7 million electric customers and 2.1 million natural gas customers in Minnesota, Michigan, Wisconsin, North Dakota, South Dakota, Colorado, Texas, and New Mexico as of 2019. It consists of four operating subsidiaries: Northern States Power-Minnesota, Northern States Power-Wisconsin, Public Service Company of Colorado, and Southwestern Public Service Co."
431,ExxonMobil,XOM,36,18.5,9.8,8.1,3,Relatively High Controversy,Energy,"Exxon Mobil Corporation, stylized as ExxonMobil, is an American multinational oil and gas corporation headquartered in Irving, Texas. It is the largest direct descendant of John D. Rockefeller's Standard Oil, and was formed on November 30, 1999 by the merger of Exxon (formerly the Standard Oil Company of New Jersey) and Mobil (formerly the Standard Oil Company of New York). ExxonMobil's primary brands are Exxon, Mobil, Esso, and ExxonMobil Chemical. ExxonMobil is incorporated in New Jersey."
432,Dentsply Sirona,XRAY,16,2.2,6.9,6.7,1,Little Controversy,Healthcare,Dentsply Sirona is an American dental equipment manufacturer and dental consumables producer that markets its products in over 120 countries.
433,Xylem Inc.,XYL,16,4.0,7.0,5.0,1,Little Controversy,Industrials,
434,Yum! Brands,YUM,21,4.0,12.0,4.0,2,Moderate Controversy,Consumer Cyclical,
435,Zimmer Biomet,ZBH,27,4.0,15.0,8.0,2,Moderate Controversy,Healthcare,
436,Zoetis,ZTS,18,1.0,8.0,9.0,1,Little Controversy,Healthcare,
